Region,UTC Date,Buy Price
EU,2015-06-05 15:01:58,41653
EU,2015-06-05 15:21:58,41623
EU,2015-06-05 15:42:15,41826
EU,2015-06-05 16:02:45,42075
EU,2015-06-05 16:22:04,42360
EU,2015-06-05 16:42:02,42651
EU,2015-06-05 17:01:57,42867
EU,2015-06-05 17:21:56,43088
EU,2015-06-05 17:41:57,43188
EU,2015-06-05 18:02:00,43235
EU,2015-06-05 18:21:56,43231
EU,2015-06-05 18:42:00,43333
EU,2015-06-05 19:01:56,43467
EU,2015-06-05 19:21:56,43442
EU,2015-06-05 19:41:57,43208
EU,2015-06-05 20:01:57,42974
EU,2015-06-05 20:21:57,42721
EU,2015-06-05 20:41:58,42634
EU,2015-06-05 21:01:56,42553
EU,2015-06-05 21:21:59,42620
EU,2015-06-05 21:41:58,42749
EU,2015-06-05 22:01:56,42809
EU,2015-06-05 22:21:58,42777
EU,2015-06-05 22:41:57,42710
EU,2015-06-05 23:01:57,42627
EU,2015-06-05 23:21:56,42580
EU,2015-06-05 23:41:58,42512
EU,2015-06-06 00:01:59,42435
EU,2015-06-06 00:21:57,42376
EU,2015-06-06 00:41:57,42377
EU,2015-06-06 01:01:57,42425
EU,2015-06-06 01:22:03,42493
EU,2015-06-06 01:41:56,42551
EU,2015-06-06 02:01:58,42610
EU,2015-06-06 02:21:56,42659
EU,2015-06-06 02:41:56,42704
EU,2015-06-06 03:01:56,42753
EU,2015-06-06 03:21:57,42797
EU,2015-06-06 03:41:57,42841
EU,2015-06-06 04:01:56,42877
EU,2015-06-06 04:21:55,42943
EU,2015-06-06 04:42:03,43032
EU,2015-06-06 05:01:59,43160
EU,2015-06-06 05:22:05,43303
EU,2015-06-06 05:41:57,43425
EU,2015-06-06 06:01:57,43551
EU,2015-06-06 06:21:57,43666
EU,2015-06-06 06:42:03,43822
EU,2015-06-06 07:02:02,44015
EU,2015-06-06 07:21:57,44199
EU,2015-06-06 07:41:57,44121
EU,2015-06-06 08:02:09,43871
EU,2015-06-06 08:21:57,43626
EU,2015-06-06 08:41:58,43527
EU,2015-06-06 09:01:58,43467
EU,2015-06-06 09:21:56,43359
EU,2015-06-06 09:41:57,43240
EU,2015-06-06 10:01:58,43194
EU,2015-06-06 10:21:56,43295
EU,2015-06-06 10:41:59,43454
EU,2015-06-06 11:01:58,43478
EU,2015-06-06 11:21:56,43204
EU,2015-06-06 11:42:01,42937
EU,2015-06-06 12:01:58,42790
EU,2015-06-06 12:21:56,42868
EU,2015-06-06 12:41:58,42999
EU,2015-06-06 13:01:57,43132
EU,2015-06-06 13:22:00,42851
EU,2015-06-06 13:41:57,42614
EU,2015-06-06 14:01:58,42423
EU,2015-06-06 14:22:00,42532
EU,2015-06-06 14:42:00,42523
EU,2015-06-06 15:02:03,42398
EU,2015-06-06 15:27:39,42301
EU,2015-06-06 15:41:58,42186
EU,2015-06-06 16:01:59,42237
EU,2015-06-06 16:22:01,42455
EU,2015-06-06 16:42:01,42727
EU,2015-06-06 17:01:58,43015
EU,2015-06-06 17:21:59,42993
EU,2015-06-06 17:42:05,42779
EU,2015-06-06 18:01:55,42566
EU,2015-06-06 18:22:02,42657
EU,2015-06-06 18:41:58,42883
EU,2015-06-06 19:01:58,43122
EU,2015-06-06 19:21:56,43326
EU,2015-06-06 19:41:58,43066
EU,2015-06-06 20:01:57,42808
EU,2015-06-06 20:21:56,42565
EU,2015-06-06 20:42:00,42440
EU,2015-06-06 21:01:59,42397
EU,2015-06-06 21:21:56,42429
EU,2015-06-06 21:41:57,42648
EU,2015-06-06 22:02:00,42674
EU,2015-06-06 22:21:57,42673
EU,2015-06-06 22:41:59,42655
EU,2015-06-06 23:02:04,42779
EU,2015-06-06 23:21:59,42861
EU,2015-06-06 23:41:56,42826
EU,2015-06-07 00:01:57,42788
EU,2015-06-07 00:22:03,42774
EU,2015-06-07 00:41:59,42837
EU,2015-06-07 01:01:57,42908
EU,2015-06-07 01:22:02,42990
EU,2015-06-07 01:41:58,43064
EU,2015-06-07 02:01:57,43134
EU,2015-06-07 02:22:03,43207
EU,2015-06-07 02:41:56,43293
EU,2015-06-07 03:01:58,43393
EU,2015-06-07 03:21:58,43490
EU,2015-06-07 03:41:59,43585
EU,2015-06-07 04:01:58,43679
EU,2015-06-07 04:22:03,43625
EU,2015-06-07 04:42:03,43520
EU,2015-06-07 05:01:56,43436
EU,2015-06-07 05:21:58,43444
EU,2015-06-07 05:41:58,43498
EU,2015-06-07 06:01:57,43614
EU,2015-06-07 06:21:57,43770
EU,2015-06-07 06:41:57,43965
EU,2015-06-07 07:01:58,44145
EU,2015-06-07 07:21:59,44357
EU,2015-06-07 07:41:57,44554
EU,2015-06-07 08:01:57,44734
EU,2015-06-07 08:21:59,44885
EU,2015-06-07 08:41:57,45045
EU,2015-06-07 09:01:58,45089
EU,2015-06-07 09:21:58,44855
CN,2015-04-28 16:03:50,48604
CN,2015-04-28 17:40:40,57563
CN,2015-04-28 18:01:27,58139
CN,2015-04-28 19:27:51,60499
CN,2015-04-28 20:00:00,61104
CN,2015-04-28 20:19:59,61715
CN,2015-04-28 20:40:22,62331
CN,2015-04-28 21:00:03,62954
CN,2015-04-28 21:20:02,63583
CN,2015-04-28 21:40:04,64219
CN,2015-04-28 23:19:59,64861
CN,2015-04-28 23:40:07,65509
CN,2015-04-28 23:59:59,66164
CN,2015-04-29 00:20:00,66826
CN,2015-04-29 00:40:01,67494
CN,2015-04-29 00:59:58,68169
CN,2015-04-29 01:20:01,68844
CN,2015-04-29 01:40:02,69513
CN,2015-04-29 01:59:59,70170
CN,2015-04-29 02:20:05,70789
CN,2015-04-29 02:40:00,71352
CN,2015-04-29 03:00:04,71866
CN,2015-04-29 03:19:58,72313
CN,2015-04-29 03:40:10,72713
CN,2015-04-29 03:59:57,73054
CN,2015-04-29 04:20:00,73328
CN,2015-04-29 04:40:11,73528
CN,2015-04-29 05:00:00,73643
CN,2015-04-29 05:19:59,73676
CN,2015-04-29 05:40:00,73621
CN,2015-04-29 06:01:02,73462
CN,2015-04-29 06:20:09,73215
CN,2015-04-29 06:40:02,72879
CN,2015-04-29 07:00:02,72458
CN,2015-04-29 07:20:00,71958
CN,2015-04-29 07:39:59,71390
CN,2015-04-29 07:59:57,70756
CN,2015-04-29 08:19:59,70063
CN,2015-04-29 08:40:02,69362
CN,2015-04-29 08:59:58,68668
CN,2015-04-29 09:20:00,67981
CN,2015-04-29 09:39:58,67301
CN,2015-04-29 10:00:02,66628
CN,2015-04-29 10:20:02,65962
CN,2015-04-29 10:40:05,65302
CN,2015-04-29 11:00:03,64649
CN,2015-04-29 11:20:03,64003
CN,2015-04-29 11:40:00,63363
CN,2015-04-29 12:00:10,62729
CN,2015-04-29 12:20:01,62102
CN,2015-04-29 12:40:11,61481
CN,2015-04-29 13:00:01,60866
CN,2015-04-29 13:20:09,60257
CN,2015-04-29 13:39:59,59654
CN,2015-04-29 14:00:05,59057
CN,2015-04-29 14:20:08,58466
CN,2015-04-29 14:39:59,57881
CN,2015-04-29 15:00:02,57302
CN,2015-04-29 15:19:59,56729
CN,2015-04-29 15:40:00,56162
CN,2015-04-29 16:00:02,55600
CN,2015-04-29 16:20:00,55044
CN,2015-04-29 16:39:59,54494
CN,2015-04-29 17:00:04,53949
CN,2015-04-29 19:00:00,53410
CN,2015-04-29 20:59:59,52876
CN,2015-04-29 23:00:00,52358
CN,2015-04-30 01:00:05,52041
CN,2015-04-30 01:20:00,51767
CN,2015-04-30 01:39:59,51534
CN,2015-04-30 02:00:00,51343
CN,2015-04-30 02:20:05,51195
CN,2015-04-30 02:40:08,51087
CN,2015-04-30 02:59:59,51016
CN,2015-04-30 03:19:59,50985
CN,2015-04-30 03:41:35,50996
CN,2015-04-30 04:02:11,51062
CN,2015-04-30 04:20:05,51198
CN,2015-04-30 04:40:04,51399
CN,2015-04-30 04:59:59,51666
CN,2015-04-30 05:20:05,51986
CN,2015-04-30 05:40:00,52354
CN,2015-04-30 06:00:04,52764
CN,2015-04-30 06:19:58,53204
CN,2015-04-30 06:39:59,53673
CN,2015-04-30 06:59:59,54164
CN,2015-04-30 07:19:59,54676
CN,2015-04-30 07:40:04,55208
CN,2015-04-30 08:00:00,55760
CN,2015-04-30 08:20:00,56318
CN,2015-04-30 08:40:00,56881
CN,2015-04-30 08:59:58,57450
CN,2015-04-30 09:20:00,58025
CN,2015-04-30 09:40:01,58605
CN,2015-04-30 10:00:00,59191
CN,2015-04-30 10:20:05,59783
CN,2015-04-30 10:40:00,60380
CN,2015-04-30 10:59:59,60978
CN,2015-04-30 11:19:58,61577
CN,2015-04-30 11:40:04,62169
CN,2015-04-30 12:00:00,62759
CN,2015-04-30 12:19:59,63335
CN,2015-04-30 12:40:00,63899
CN,2015-04-30 13:00:10,64456
CN,2015-04-30 13:20:11,65002
CN,2015-04-30 13:39:59,65522
CN,2015-04-30 14:00:07,66019
CN,2015-04-30 14:20:06,66492
CN,2015-04-30 14:40:46,66934
CN,2015-04-30 15:00:05,67349
CN,2015-04-30 15:20:00,67731
CN,2015-04-30 15:40:01,68069
CN,2015-04-30 16:00:05,68372
CN,2015-04-30 16:20:05,68638
CN,2015-04-30 16:40:00,68862
CN,2015-04-30 17:00:05,69054
CN,2015-04-30 17:19:59,69217
CN,2015-04-30 17:40:00,69352
CN,2015-04-30 18:00:00,69460
CN,2015-04-30 18:19:59,69526
CN,2015-04-30 18:39:59,69573
CN,2015-04-30 18:59:59,69593
CN,2015-04-30 19:20:05,69580
CN,2015-04-30 19:39:59,69549
CN,2015-04-30 20:00:05,69508
CN,2015-04-30 20:20:05,69451
CN,2015-04-30 20:40:00,69381
CN,2015-04-30 20:59:59,69302
CN,2015-04-30 21:20:04,69206
CN,2015-04-30 21:40:00,69101
CN,2015-04-30 21:59:59,68990
CN,2015-04-30 22:20:01,68863
